Epoch,Comb_Train_Loss,Comb_Train_Accuracy,CVHuman_Loss,CVHuman_Accuracy
1,1.7710982028151459,0.2975708560672341,2.1051246696569264,0.2689415902640554
2,1.664438260022171,0.3469635691599371,1.7609010336025375,0.3196645522303823
3,1.617669947820291,0.3694621235640759,1.6838551836251003,0.3449971144593446
4,1.583557630357471,0.3812030142161379,1.6730271024535768,0.3550028981605425
5,1.5552189458719627,0.39728167275168885,1.6606956433188083,0.3619433263044243
6,1.5260804137651327,0.40613071807483564,1.6572640695069973,0.3600347084830901
7,1.4917168915788852,0.42035859577604123,1.6303837760257351,0.36998265560667276
8,1.4567692971353678,0.4376518286596634,1.6402150160181088,0.3743204229299673
9,1.418599877383685,0.4503181097202808,1.6614152460238911,0.37073453521801364
10,1.3865474151213624,0.4679583642629694,1.6479752179237375,0.37993060209249624
11,1.340903500830804,0.48750723614436314,1.6634380581269992,0.37536148737282704
12,1.3044406567576865,0.5002891910798448,1.674245109718063,0.3814921985520987
13,1.256444805650232,0.5213996597267917,1.7077248793175046,0.37779063672396695
14,1.2092583661068366,0.5400809776091864,1.7406870596597752,0.37975709125219126
15,1.177118232961747,0.5545402023146291,1.7770701872950831,0.3775592893103554
16,1.1372570324281932,0.5677270150989632,1.8356731579509216,0.372932337608006
17,1.0901440126382922,0.586871029204759,1.8562305334194908,0.37489879198971865
18,1.042066248098228,0.6078658230417475,1.90283855587296,0.3753036500885051
19,1.0091856901807015,0.6218623531828266,1.9431365727344128,0.37391556446921054
20,0.9535300054599802,0.6457489915170602,2.005936400265695,0.37235396862582104
21,0.9128733167264277,0.6584731089915431,2.060910705336951,0.37235396833279694
22,0.8661585791459858,0.6741469086483427,2.1447037563563884,0.368768080543277
23,0.849157907400537,0.680798151499624,2.1595470999761313,0.3733371959955083
24,0.8053273737792547,0.7012724132983232,2.257618215471559,0.36894159124138015
25,0.7767646213429998,0.7097744374191781,2.276180909747259,0.3700404920593215
26,0.7322913604692054,0.7299016782956841,2.335926845971392,0.3702718399340167
27,0.7144841380318233,0.7345864660326915,2.4086904896002026,0.3706766981448427
28,0.6631051146653164,0.7506651238184407,2.4561348765864346,0.3762290405487713
29,0.6379304864094258,0.7604973964638759,2.5219971001699766,0.369924818516265
30,0.6417407099741474,0.7648930010456382,2.5594870124751283,0.3730480111295165
31,0.5981867036692243,0.7827067651832774,2.6116787806420474,0.37495662850269534
32,0.5727842944362316,0.7889531492463007,2.6425952814506486,0.3720647836865727
33,0.5534043041412859,0.7957779033429483,2.713738031026048,0.3709658828169205
34,0.5359848645909496,0.8021977993882149,2.765912551422072,0.38074031882010106
35,0.5155362723779825,0.8133603202393458,2.817317924622233,0.37663389883716214
36,0.5018687392393765,0.8181607823036802,2.8609551009482383,0.3755349978554709
37,0.4732110074275811,0.8277038699495359,2.9174261289638515,0.3714864149198478
38,0.46741953889040433,0.8294389777924017,2.9230378375638093,0.3705610247095155
39,0.4404752144925056,0.8413533785565181,3.0109545139993377,0.3713707411311671
40,0.46392803331066834,0.8340080924258885,3.0268765096032904,0.3711972302994796
41,0.41657364623165355,0.8503759349957598,3.059831689157669,0.3704453501193267
42,0.4096583600876179,0.8524002254940041,3.126105823790563,0.3762290405616979
43,0.39342109620045346,0.8595141642627305,3.134437798298871,0.3759976928162786
44,0.37641135139359616,0.8619433135190664,3.1961655369412982,0.37478311817518284
45,0.3709301662546766,0.8691150890808695,3.2356196088450293,0.3721226208114547
46,0.36652256990203896,0.87009831649365,3.2619619487061393,0.3754771609805218
47,0.3497793707455802,0.8746674312822666,3.2956194872625852,0.37397340165011034
48,0.34445928022084404,0.8791208721399997,3.329715146812967,0.37455177049009214
49,0.3531132875820488,0.8766338857803282,3.294910111666543,0.3781376583097758
50,0.3237533495242194,0.8859456262194142,3.3019333612443185,0.37657606188464793
